model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Malta,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,608.40035,673.1999000000001,813.59995,673.1999000000001,475.2009,644.3994,777.6009,519.45815,514.0689500000001,569.45045,559.479549173844,562.9805340108659,566.4815188478876,569.9825036849095,573.4834885219312,576.9844733589531,580.485458195975,583.9864430329967,587.4874278700186,590.9884127070403,594.4893975440622,597.990382381084,601.4913672181058,604.9923520551276,608.4933368921494,611.9943217291712,615.4953065661931,618.9962914032149,622.4972762402367,625.9982610772585,629.4992459142803,633.0002307513022,636.5012155883239,640.0022004253458,643.5031852623677,647.0041700993894,650.5051549364113,654.006139773433,657.5071246104549,661.0081094474767,664.5090942844985
PD22,baseline,Malta,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,435.6,453.6,439.2,410.4,388.8,230.4,181.95,177.34,180.76,211.04,207.34475503118495,208.6422302373334,209.93970544348187,211.23718064963032,212.5346558557788,213.83213106192724,215.12960626807572,216.42708147422417,217.72455668037261,219.0220318865211,220.31950709266954,221.61698229881802,222.91445750496646,224.21193271111494,225.5094079172634,226.80688312341186,228.1043583295603,229.40183353570876,230.69930874185724,231.99678394800569,233.29425915415416,234.5917343603026,235.8892095664511,237.18668477259953,238.48415997874798,239.78163518489646,241.0791103910449,242.37658559719335,243.67406080334183,244.9715360094903,246.26901121563876
PD22,baseline,Malta,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Malta,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Malta,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,2.16,10.8,36.72,62.63999999999999,146.88,205.20000000000002,276.48,350.4816,407.85119999999995,457.056,449.05309114638584,451.8630742198382,454.6730572932906,457.483040366743,460.2930234401954,463.10300651364776,465.9129895871001,468.7229726605525,471.5329557340049,474.34293880745724,477.1529218809097,479.96290495436205,482.7728880278144,485.5828711012668,488.39285417471916,491.2028372481716,494.01282032162396,496.82280339507633,499.6327864685287,502.4427695419811,505.25275261543345,508.0627356888858,510.87271876233825,513.6827018357906,516.492684909243,519.3026679826953,522.1126510561478,524.9226341296002,527.7326172030525,530.5426002765049,533.3525833499573
PD22,baseline,Malta,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,2.16,10.799999999999999,36.72,62.64,146.88,205.2,276.48,350.484,407.844,457.056,449.05309114638584,451.8630742198382,454.6730572932906,457.483040366743,460.2930234401954,463.10300651364776,465.9129895871001,468.7229726605525,471.5329557340049,474.34293880745724,477.1529218809097,479.96290495436205,482.7728880278144,485.5828711012668,488.39285417471916,491.2028372481716,494.01282032162396,496.82280339507633,499.6327864685287,502.4427695419811,505.25275261543345,508.0627356888858,510.87271876233825,513.6827018357906,516.492684909243,519.3026679826953,522.1126510561478,524.9226341296002,527.7326172030525,530.5426002765049,533.3525833499573
PD22,baseline,Malta,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Malta,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Malta,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Malta,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.27,0.30600000000000005,0.2088,0.2088,0.2088,0.2088,0.2088,0.2088,0.20514397673669174,0.20642768040918888,0.20771138408168605,0.20899508775418318,0.21027879142668035,0.2115624950991775,0.21284619877167466,0.2141299024441718,0.21541360611666893,0.2166973097891661,0.21798101346166324,0.2192647171341604,0.22054842080665754,0.2218321244791547,0.22311582815165185,0.224399531824149,0.22568323549664615,0.2269669391691433,0.22825064284164046,0.2295343465141376,0.23081805018663476,0.2321017538591319,0.23338545753162904,0.2346691612041262,0.23595286487662334,0.2372365685491205,0.23852027222161765,0.23980397589411478,0.24108767956661195,0.24237138323910912,0.24365508691160626
